campaign_id,campaign_profile,concurrent_pairs,critical_p95_ci95_ms,critical_p99_ci95_ms,evidence_label,items_per_arc,max_server_gateway_queue_wait_ms,median_application_goodput_mbps,median_client_context_switches,median_client_cpu_ms_per_completed_pair,median_client_cpu_pct,median_client_cpu_seconds_per_workload,median_client_host_cpu_pct,median_client_host_cpu_steal_pct,median_client_interface_mbps,median_client_involuntary_context_switches,median_client_launch_skew_ms,median_client_max_run_queue_depth,median_client_process_peak_rss_sum_kb,median_client_run_queue_depth,median_client_scheduler_wait_ms_per_pair,median_client_tcp_retransmissions,median_client_tcp_segments,median_client_voluntary_context_switches,median_completed_items_per_second,median_completed_pairs_per_second,median_critical_arc_ms,median_pair_jain_fairness,median_received_bytes,median_received_frames,median_sent_bytes,median_sent_frames,median_server_context_switches,median_server_cpu_ms_per_completed_pair,median_server_cpu_pct,median_server_cpu_seconds_per_workload,median_server_gateway_peak_queue_depth,median_server_gateway_peak_queue_utilization_pct,median_server_gateway_queue_wait_ms_per_queued_session,median_server_host_cpu_pct,median_server_host_cpu_steal_pct,median_server_interface_mbps,median_server_max_run_queue_depth,median_server_process_peak_rss_sum_kb,median_server_run_queue_depth,median_server_scheduler_wait_ms_per_pair,median_server_tcp_retransmissions,median_server_tcp_segments,median_stage_wall_ms,median_total_cpu_ms_per_completed_pair,median_total_cpu_seconds_per_workload,mode,p95_critical_arc_ms,p95_stage_wall_ms,p99_critical_arc_ms,p99_stage_wall_ms,pair_p50_ms,pair_p95_ci95_ms,pair_p95_ms,pair_p99_ci95_ms,pair_p99_ms,participants,route,stage_p95_ci95_ms,stage_p99_ci95_ms,total_client_cgroup_throttled_periods,total_client_cgroup_throttled_usec,total_server_cgroup_throttled_periods,total_server_cgroup_throttled_usec,total_server_gateway_queued_sessions,total_server_gateway_rejected_sessions,trials
preswap-eu-primary-v3-final,primary,1,"[757.478658, 760.013314]","[759.262211, 770.104078]",eu_primary,5,0.0,0.01982946659816479,15.0,6.8015,0.8829560494713603,0.0068015,1.6181229773462784,0.0,0.04619784598792637,0.0,0.0,2.0,37972.0,1.0,0.0,0.0,23.0,15.0,6.485304355757715,1.297060871151543,753.4376965,1.0,1093.0,4.0,818.0,3.0,9.0,23.509500000000003,1.8536410238205367,0.023509500000000003,0.0,0.0,0.0,1.5763562099116308,0.0,0.027987781745819985,2.0,21956.0,1.0,0.0,0.0,23.0,770.97384,30.3285,0.0303285,batch-joint-presigning-batch-verification,759.262211,776.996513,760.966285,780.260859,753.413328,"[757.478658, 760.013314]",759.262211,"[759.262211, 770.104078]",760.966285,3,eu_to_us,"[775.162752, 778.59465]","[776.996513, 788.131912]",0,0,0,0,0,0,100
preswap-eu-primary-v3-final,primary,1,"[758.409062, 759.933742]","[759.442235, 760.588011]",eu_primary,5,0.0,0.0184500677814302,12.0,7.0235,0.9104330263714038,0.0070235,1.6129032258064515,0.0,0.04313585109052985,0.0,0.0,2.0,37972.0,1.0,0.0,0.0,21.0,12.0,6.481895651148889,1.2963791302297776,753.8867515,1.0,961.0,3.0,818.0,3.0,9.0,24.0415,1.8938605626180491,0.0240415,0.0,0.0,0.0,1.5763562099116308,0.0,0.026840003928301888,2.0,21926.0,1.0,0.0,0.0,23.0,771.37928,31.0395,0.031039499999999998,batch-joint-presigning-itemwise,759.442235,777.001543,760.109302,777.747277,753.856935,"[758.409062, 759.933742]",759.442235,"[759.442235, 760.588011]",760.109302,3,eu_to_us,"[775.546347, 777.611934]","[777.001543, 784.382033]",0,0,0,0,0,0,100
preswap-eu-primary-v3-final,primary,1,"[757.027923, 759.021724]","[757.957492, 760.440461]",eu_primary,5,0.0,0.028126798699074605,15.0,6.836500000000001,0.8884895763062637,0.0068365000000000006,1.6129032258064515,0.0,0.054481443048744,0.0,0.0,2.0,37972.0,1.0,0.0,0.0,23.0,15.0,6.484415044972936,1.296883008994587,753.5732370000001,1.0,1413.0,4.0,1298.0,3.0,9.0,23.532,1.8550030859907074,0.023532,0.0,0.0,0.0,1.5748031496062993,0.0,0.03303943293378543,2.0,21984.0,1.0,0.0,0.0,23.0,771.0795755,30.421999999999997,0.030421999999999998,phase-coalesced-batch-verification,757.957492,775.320308,759.097996,776.560302,753.565699,"[757.027923, 759.021724]",757.957492,"[757.957492, 760.440461]",759.097996,3,eu_to_us,"[774.646353, 776.478451]","[775.320308, 777.515485]",0,0,0,0,0,0,100
preswap-eu-primary-v3-final,primary,1,"[757.746415, 760.015787]","[758.978416, 761.558746]",eu_primary,5,0.0,0.026754825362203014,12.0,7.036,0.9113106210731392,0.007036,1.6129032258064515,0.0,0.0514886624129765,0.0,0.0,2.0,37972.0,1.0,0.0,0.0,21.0,12.0,6.483817701193054,1.2967635402386106,753.840985,1.0,1281.0,3.0,1298.0,3.0,9.0,24.032,1.894039494951163,0.024031999999999998,0.0,0.0,0.0,1.5779092702169626,0.0,0.03156303954597146,2.0,21962.0,1.0,0.0,0.0,22.0,771.150614,31.1065,0.031106500000000002,phase-coalesced-itemwise,758.978416,776.703822,760.354681,777.936947,753.796135,"[757.746415, 760.015787]",758.978416,"[758.978416, 761.558746]",760.354681,3,eu_to_us,"[775.242913, 777.444259]","[776.703822, 779.107117]",0,0,0,0,0,0,100
preswap-eu-primary-v3-final,primary,1,"[756.974505, 758.34209]","[758.036532, 759.184445]",eu_primary,5,0.0,0.03443175776639251,22.0,7.2705,0.9444717238470355,0.0072705,1.6129032258064515,0.0,0.073692496901566,0.0,0.0,2.0,37972.0,1.0,0.0,0.0,33.0,22.0,6.491658704070986,1.2983317408141972,752.752019,1.0,1473.0,11.0,1842.0,15.0,17.0,24.5895,1.9383605839851863,0.0245895,0.0,0.0,0.0,1.5748031496062993,0.0,0.04528198859104024,2.0,21956.0,1.0,0.0,0.0,35.0,770.2191795,31.910999999999998,0.031910999999999995,reference-itemwise,758.036532,775.061259,759.172388,776.556683,752.727559,"[756.974505, 758.34209]",758.036532,"[758.036532, 759.184445]",759.172388,3,eu_to_us,"[774.304228, 776.057418]","[775.061259, 776.898882]",0,0,0,0,0,0,100
preswap-eu-primary-v3-final,primary,1,"[763.171731, 767.006767]","[765.734269, 782.572083]",eu_primary,9,0.0,0.029330773432762226,15.0,10.494,1.3533761997072067,0.010494,1.6129032258064515,0.0,0.05553487915193207,0.0,0.0,2.0,44294.0,1.0,0.0,0.0,23.0,15.0,11.606443936636477,1.2896048818484975,758.113243,1.0,1629.0,4.0,1214.0,3.0,9.0,27.9805,2.204177848254342,0.0279805,0.0,0.0,0.0,1.5810276679841897,0.0,0.0338531764009198,2.0,21974.0,1.0,0.0,0.0,23.0,775.431308,38.503,0.038503,batch-joint-presigning-batch-verification,765.734269,783.187751,767.720396,785.170825,758.026444,"[763.171731, 767.006767]",765.734269,"[765.734269, 782.572083]",767.720396,5,eu_to_us,"[781.119597, 784.661836]","[783.187751, 799.778337]",0,0,0,0,0,0,100
preswap-eu-primary-v3-final,primary,1,"[764.385473, 766.625342]","[765.609634, 768.283385]",eu_primary,9,0.0,0.027860153326897057,13.0,11.135,1.4318856466651089,0.011134999999999999,1.607717041800643,0.0,0.05238202774589733,0.0,0.0,2.0,44218.0,1.0,0.0,0.0,21.0,12.0,11.561295644691697,1.284588404965744,760.960385,1.0,1497.0,3.0,1214.0,3.0,9.0,29.305500000000002,2.3160732422501766,0.029305499999999998,0.0,0.0,0.0,1.6427104722792607,0.0,0.03272289868009311,2.0,21950.0,1.0,0.0,0.0,23.0,778.4594635,40.521,0.040521,batch-joint-presigning-itemwise,765.609634,783.148687,766.67912,784.700217,760.914174,"[764.385473, 766.625342]",765.609634,"[765.609634, 768.283385]",766.67912,5,eu_to_us,"[781.946243, 784.063144]","[783.148687, 786.1701]",0,0,0,0,0,0,100
preswap-eu-primary-v3-final,primary,1,"[763.021034, 768.210071]","[764.007513, 775.947152]",eu_primary,9,0.0,0.04410760410537374,15.0,10.5195,1.3536260403491007,0.0105195,1.607717041800643,0.0,0.07032249636794359,0.0,0.0,2.0,44214.0,1.0,0.0,0.0,23.0,15.0,11.585583613949442,1.2872870682166049,759.1589309999999,1.0,2205.0,4.0,2078.0,3.0,9.0,27.9705,2.204101418773138,0.027970500000000002,0.0,0.0,0.0,1.5810276679841897,0.0,0.04297249286272762,2.0,21980.0,1.0,0.0,0.0,23.0,776.8275085,38.5265,0.0385265,phase-coalesced-batch-verification,764.007513,781.30688,775.27714,792.769514,759.13961,"[763.407311, 768.210071]",764.007513,"[764.007513, 775.947152]",775.27714,5,eu_to_us,"[780.58181, 785.599517]","[781.30688, 794.267595]",0,0,0,0,0,0,100
preswap-eu-primary-v3-final,primary,1,"[765.132377, 769.592138]","[766.885774, 788.55922]",eu_primary,9,0.0,0.04261305403951768,13.0,11.157499999999999,1.4324442409510594,0.0111575,1.607717041800643,0.0,0.06712473933226426,0.0,0.0,2.0,44286.0,1.0,0.0,0.0,21.0,12.0,11.54894863754695,1.2832165152829944,761.8682145,1.0,2073.0,3.0,2078.0,3.0,9.0,29.3685,2.313632329030459,0.0293685,0.0,0.0,0.0,1.5810276679841897,0.0,0.041788950611949954,2.0,21946.0,1.0,0.0,0.0,23.0,779.291718,40.5435,0.040543499999999996,phase-coalesced-itemwise,766.885774,784.383108,770.435266,787.791681,761.834396,"[765.234695, 769.592138]",766.885774,"[766.885774, 788.55922]",770.435266,5,eu_to_us,"[782.698132, 786.790719]","[784.383108, 805.961054]",0,0,0,0,0,0,100
preswap-eu-primary-v3-final,primary,1,"[763.996942, 766.192937]","[765.167541, 768.194387]",eu_primary,9,0.0,0.05949999567630361,34.0,11.7305,1.5102833824822233,0.0117305,1.607717041800643,0.0,0.11678274519341422,0.0,0.0,2.0,44286.0,1.0,0.0,0.0,52.0,34.0,11.574873791430324,1.2860970879367026,760.2265235,1.0,2521.0,19.0,3262.0,27.0,27.0,30.3655,2.3936179457442024,0.0303655,0.0,0.0,0.0,1.6769352105637156,0.0,0.07243319347480714,2.0,21930.0,1.0,0.0,0.0,52.0,777.5462785,42.0905,0.0420905,reference-itemwise,765.167541,782.268712,766.921284,784.628449,760.199002,"[763.996942, 766.192937]",765.167541,"[765.167541, 768.194387]",766.921284,5,eu_to_us,"[781.814643, 783.738799]","[782.268712, 785.242071]",0,0,0,0,0,0,100
